epoch,step,test_acc,test_ck,test_f1,test_loss,test_macc,test_mf1,test_pr,test_rc,train_acc,train_f1,train_loss,val_acc,val_f1,val_loss
0,49,,,,,,,,,0.21875,0.1270161271095276,1.974916696548462,,,inf
0,99,,,,,,,,,0.25,0.12857143580913544,1.9670592546463013,,,inf
0,149,,,,,,,,,0.1875,0.06818182021379471,1.9841961860656738,,,inf
0,199,,,,,,,,,0.21875,0.10892857611179352,1.9781304597854614,,,inf
0,249,,,,,,,,,0.28125,0.16706731915473938,1.93838632106781,,,inf
0,299,,,,,,,,,0.21875,0.15409919619560242,1.936099648475647,,,inf
0,299,,,,,,,,,,,,0.2205333262681961,0.12811091542243958,1.9389116764068604
0,349,,,,,,,,,0.25,0.15714284777641296,1.9075076580047607,,,inf
0,399,,,,,,,,,0.34375,0.23508772253990173,1.8729370832443237,,,inf
0,449,,,,,,,,,0.21875,0.10984848439693451,1.89347505569458,,,inf
0,499,,,,,,,,,0.15625,0.07917888462543488,1.8611780405044556,,,inf
0,549,,,,,,,,,0.28125,0.1840861439704895,1.7912895679473877,,,inf
0,599,,,,,,,,,0.125,0.0546875,1.7839385271072388,,,inf
0,599,,,,,,,,,,,,0.1918666660785675,0.11326980590820312,1.7853386402130127
0,649,,,,,,,,,0.1875,0.13260649144649506,1.7757086753845215,,,inf
0,699,,,,,,,,,0.1875,0.15312500298023224,1.7716041803359985,,,inf
0,749,,,,,,,,,0.25,0.2083333283662796,1.7144371271133423,,,inf
0,799,,,,,,,,,0.1875,0.1413506269454956,1.7471723556518555,,,inf
0,849,,,,,,,,,0.25,0.1842908263206482,1.690542459487915,,,inf
0,899,,,,,,,,,0.1875,0.16830357909202576,1.6773954629898071,,,inf
0,899,,,,,,,,,,,,0.22519999742507935,0.16672304272651672,1.6766948699951172
0,949,,,,,,,,,0.28125,0.2135416567325592,1.6079816818237305,,,inf
0,999,,,,,,,,,0.21875,0.18320707976818085,1.6554570198059082,,,inf
0,1049,,,,,,,,,0.28125,0.23197752237319946,1.616888403892517,,,inf
1,1099,,,,,,,,,0.1875,0.11972756683826447,1.6622698307037354,,,
1,1149,,,,,,,,,0.15625,0.0985991358757019,1.6366225481033325,,,
1,1199,,,,,,,,,0.40625,0.3166666626930237,1.5644326210021973,,,
1,1249,,,,,,,,,0.21875,0.19436275959014893,1.6441140174865723,,,
1,1299,,,,,,,,,0.34375,0.28082048892974854,1.5923943519592285,,,
1,1349,,,,,,,,,0.21875,0.14615385234355927,1.6006662845611572,,,
1,1393,,,,,,,,,,,,0.2547999918460846,0.17958787083625793,1.6021884679794312
1,1399,,,,,,,,,0.15625,0.12759821116924286,1.6658233404159546,,,
1,1449,,,,,,,,,0.21875,0.19354604184627533,1.6443090438842773,,,
1,1499,,,,,,,,,0.25,0.168154776096344,1.567002296447754,,,
1,1549,,,,,,,,,0.3125,0.21177946031093597,1.5654535293579102,,,
1,1599,,,,,,,,,0.375,0.26439952850341797,1.513420581817627,,,
1,1649,,,,,,,,,0.28125,0.1458333283662796,1.4973485469818115,,,
1,1693,,,,,,,,,,,,0.28066667914390564,0.2084774374961853,1.5599080324172974
1,1699,,,,,,,,,0.15625,0.08954326808452606,1.640883445739746,,,
